,1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament,handedness,Height
281,0.030769231,0.625,105.8461538,81.62162162,0.514285714,0.485714286,0.019230769,M,Steve Johnson,Kyle Edmund,113,0.673076923,hard,us,R,74.02
282,0.03030303,0.640776699,107.3484848,87.97222222,0.466666667,0.533333333,0.009708738,M,Denis Shapovalov,Kyle Edmund,84,0.582524272,hard,us,R,74.02
283,0.279069767,0.551282051,0,0,0.525423729,0.474576271,0.025641026,M,Santiago Giraldo,Kyle Edmund,95,0.756410256,hard,aus,R,74.02
284,0.142857143,0.53164557,0,0,0.555555556,0.444444444,0.075949367,M,Pablo Carreno Busta,Kyle Edmund,72,0.569620253,hard,aus,R,74.02
405,0.19047619,0.56,102.7857143,84.13333333,0.528301887,0.471698113,0.04,M,Florian Mayer,Pablo Carreno Busta,101,0.706666667,clay,french,R,74.02
406,0.15,0.64,94.225,70.79069767,0.5375,0.4625,0.016,M,Taro Daniel,Pablo Carreno Busta,136,0.64,clay,french,R,74.02
407,0,0.639175258,103.5806452,82.8125,0.546875,0.453125,0.030927835,M,Grigor Dimitrov,Pablo Carreno Busta,108,0.659793814,clay,french,R,74.02
408,0.065359477,0.742718447,88.24836601,74.50943396,0.484375,0.515625,0,M,Milos Raonic,Pablo Carreno Busta,193,0.621359223,clay,french,R,74.02
409,0,0.785714286,93.68181818,39.75,0.625,0.375,0.071428571,M,Rafael Nadal,Pablo Carreno Busta,20,0.285714286,clay,french,R,74.02
410,0.068965517,0.783783784,105.5344828,79.33333333,0.509433962,0.490566038,0.013513514,M,Nicolas Mahut,Pablo Carreno Busta,95,0.716216216,hard,us,R,74.02
411,0.012048193,0.62406015,108.2048193,85.80434783,0.528735632,0.471264368,0.030075188,M,Denis Shapovalov,Pablo Carreno Busta,128,0.654135338,hard,us,R,74.02
412,0.112903226,0.639175258,109.3870968,83.53125,0.532258065,0.467741935,0.030927835,M,Diego Schwartzman,Pablo Carreno Busta,97,0.639175258,hard,us,R,74.02
413,0.009803922,0.708333333,106.2941176,86.15,0.448275862,0.551724138,0.013888889,M,Kevin Anderson,Pablo Carreno Busta,110,0.604166667,hard,us,R,74.02
414,0.120689655,0.651685393,0,0,0.5,0.5,0,M,Kyle Edmund,Pablo Carreno Busta,96,0.696629213,hard,aus,R,74.02
415,0.058139535,0.569536424,108.3837209,84.51666667,0.494623656,0.505376344,0.033112583,M,Denis Istomin,Pablo Carreno Busta,137,0.61589404,hard,aus,R,74.02
473,0.155555556,0.494505495,100.3111111,96.5,0.44,0.56,0.065934066,M,Aljaz Bedene,Ryan Harrison,70,0.549450549,clay,french,R,74.02
474,0.280701754,0.518181818,0,0,0.573333333,0.426666667,0.045454545,M,Borna Coric,Ryan Harrison,113,0.681818182,grass,wimbledon,R,74.02
475,0.189873418,0.598484848,120.2911392,98.58,0.476190476,0.523809524,0.022727273,M,Tomas Berdych,Ryan Harrison,111,0.636363636,grass,wimbledon,R,74.02
476,0.181818182,0.488888889,117.6590909,101.2682927,0.448979592,0.551020408,0.055555556,M,Tomas Berdych,Ryan Harrison,84,0.544444444,hard,us,R,74.02
477,0.163265306,0.636363636,0,0,0.519230769,0.480769231,0.038961039,M,Nicolas Mahut,Ryan Harrison,98,0.675324675,hard,aus,R,74.02
478,0.088235294,0.527131783,112.2058824,100.08,0.529411765,0.470588235,0.085271318,M,Tomas Berdych,Ryan Harrison,84,0.527131783,hard,aus,R,74.02
