1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
0.121212121,0.638709677,0,0,0.527472527,0.472527473,0.051612903,M,Ruben Bemelmans,Daniil Medvedev,131,0.587096774,grass,wimbledon
0.072727273,0.647058824,115.2909091,99.10714286,0.548387097,0.451612903,0.023529412,M,Donald Young,Rafael Nadal,107,0.729411765,grass,wimbledon
0.102941176,0.653846154,109.5588235,92.03030303,0.406779661,0.593220339,0.028846154,M,Rafael Nadal,Donald Young,82,0.567307692,grass,wimbledon
0.120481928,0.576388889,0,0,0.505263158,0.494736842,0.027777778,M,Karen Khachanov,Thiago Monteiro,148,0.659722222,grass,wimbledon
0.141509434,0.654320988,0,0,0.458715596,0.541284404,0.030864198,M,Thiago Monteiro,Karen Khachanov,158,0.672839506,grass,wimbledon
0.1875,0.621359223,109.734375,82.7027027,0.515151515,0.484848485,0.019417476,M,Damir Dzumhur,Aljaz Bedene,107,0.640776699,grass,wimbledon
0.015625,0.688172043,101.640625,83.16,0.519230769,0.480769231,0.043010753,M,Aljaz Bedene,Damir Dzumhur,89,0.559139785,grass,wimbledon
0.210084034,0.650273224,120.2857143,101.0535714,0.5,0.5,0.043715847,M,Gilles Muller,Lukas Rosol,171,0.677595628,grass,wimbledon
0.409090909,0.63583815,114.1454545,101.02,0.5,0.5,0.075144509,M,Lukas Rosol,Gilles Muller,185,0.728323699,grass,wimbledon
0.075268817,0.654929577,106.172043,88.2195122,0.5,0.5,0.056338028,M,Sergiy Stakhovsky,Kei Nishikori,147,0.676056338,grass,wimbledon
0.092105263,0.550724638,115.3552632,100.4210526,0.448275862,0.551724138,0.036231884,M,Kei Nishikori,Sergiy Stakhovsky,133,0.630434783,grass,wimbledon
0.137931034,0.495726496,0,0,0.433333333,0.566666667,0.042735043,M,Roberto Bautista Agut,Peter Gojowczyk,97,0.512820513,grass,wimbledon
0.028169014,0.669811321,0,0,0.492753623,0.507246377,0.028301887,M,Peter Gojowczyk,Roberto Bautista Agut,126,0.650943396,grass,wimbledon
0.120481928,0.715517241,117.2289157,100.8387097,0.464285714,0.535714286,0.017241379,M,Radu Albot,Steve Johnson,129,0.724137931,grass,wimbledon
0.012987013,0.647058824,107.1038961,92.13888889,0.540540541,0.459459459,0.050420168,M,Steve Johnson,Radu Albot,106,0.621848739,grass,wimbledon
0,0.631147541,114.1298701,86.70731707,0.442857143,0.557142857,0.032786885,M,Marin Cilic,Florian Mayer,92,0.573770492,grass,wimbledon
0.563636364,0.591397849,120.7272727,100.7272727,0.478873239,0.521126761,0.053763441,M,Florian Mayer,Marin Cilic,123,0.76344086,grass,wimbledon
0.342465753,0.646017699,123.2054795,109.6363636,0.454545455,0.545454545,0.061946903,M,Mikhail Youzhny,Milos Raonic,130,0.778761062,grass,wimbledon
0.011764706,0.634328358,113.3058824,95.58695652,0.445652174,0.554347826,0.02238806,M,Milos Raonic,Mikhail Youzhny,117,0.686567164,grass,wimbledon
0.067307692,0.666666667,107.9807692,82.89583333,0.43877551,0.56122449,0.025641026,M,Albert Ramos Vinolas,Andrey Rublev,152,0.628205128,grass,wimbledon
0.141509434,0.646341463,104.2075472,93.05555556,0.490909091,0.509090909,0.024390244,M,Andrey Rublev,Albert Ramos Vinolas,168,0.670731707,grass,wimbledon
0.148148148,0.582733813,0,0,0.47311828,0.52688172,0.057553957,M,Sebastian Ofner,Jack Sock,137,0.669064748,grass,wimbledon
0.17721519,0.598484848,0,0,0.534090909,0.465909091,0.053030303,M,Jack Sock,Sebastian Ofner,134,0.666666667,grass,wimbledon
0.229166667,0.631578947,118.9583333,92,0.479166667,0.520833333,0.052631579,M,Alexander Zverev,Frances Tiafoe,72,0.631578947,grass,wimbledon
0.2,0.654761905,126.7454545,106.96,0.466666667,0.533333333,0.047619048,M,Frances Tiafoe,Alexander Zverev,88,0.714285714,grass,wimbledon
0.169811321,0.638554217,118.1886792,95.23076923,0.542372881,0.457627119,0.048192771,M,Marcos Baghdatis,Grigor Dimitrov,94,0.710843373,grass,wimbledon
0.138888889,0.514285714,119.3333333,94.13333333,0.657142857,0.342857143,0.057142857,M,Grigor Dimitrov,Marcos Baghdatis,59,0.5,grass,wimbledon
0.033057851,0.654054054,97.09917355,86.59677419,0.481751825,0.518248175,0.010810811,M,John Isner,Dudi Sela,187,0.740540541,grass,wimbledon
0.333333333,0.696132597,120.1190476,104.84,0.541984733,0.458015267,0.027624309,M,Dudi Sela,John Isner,179,0.723756906,grass,wimbledon
0.150537634,0.775,0,0,0.540540541,0.459459459,0.041666667,M,Mikhail Kukushkin,Mischa Zverev,140,0.616666667,grass,wimbledon
0.029411765,0.68,0,0,0.55952381,0.44047619,0.006666667,M,Mischa Zverev,Mikhail Kukushkin,130,0.56,grass,wimbledon
0.053571429,0.643678161,108.7857143,92.32142857,0.461538462,0.538461538,0.034482759,M,Roger Federer,Dusan Lajovic,67,0.597701149,grass,wimbledon
0.14893617,0.602564103,113.1489362,99.27586207,0.523809524,0.476190476,0.025641026,M,Dusan Lajovic,Roger Federer,98,0.807692308,grass,wimbledon
0.261538462,0.580357143,125.9538462,94.93478261,0.552631579,0.447368421,0.008928571,M,Gilles Simon,Dominic Thiem,134,0.678571429,grass,wimbledon
0.032258065,0.632653061,112.3333333,87.63461538,0.505617978,0.494382022,0.013605442,M,Dominic Thiem,Gilles Simon,125,0.605442177,grass,wimbledon
0.2375,0.571428571,0,0,0.525773196,0.474226804,0.021428571,M,Paolo Lorenzi,Jared Donaldson,147,0.692857143,grass,wimbledon
